date,y
9/5/96,10.74
9/6/96,10.75
9/9/96,10.83
9/10/96,10.95
9/11/96,11.1
9/12/96,11.24
9/13/1996,11.25
9/16/1996,11.37
9/17/1996,11.35
9/18/1996,11.29
9/19/1996,11.25
9/20/1996,11.18
9/23/1996,11.06
9/24/1996,11.22
9/25/1996,11.48
9/26/1996,11.58
9/27/1996,11.58
9/30/1996,11.63
10/1/96,11.66
10/2/96,11.98
10/3/96,11.81
10/4/96,11.84
10/7/96,12.01
10/8/96,11.9
10/9/96,11.7
10/10/96,11.69
10/11/96,11.7
10/14/1996,11.65
10/15/1996,11.68
10/16/1996,11.55
10/17/1996,11.45
10/18/1996,11.37
10/21/1996,11.48
10/22/1996,11.52
10/23/1996,11.5
10/24/1996,11.94
10/25/1996,11.76
10/28/1996,11.88
10/29/1996,11.87
10/30/1996,11.84
10/31/1996,11.85
11/1/96,11.77
11/4/96,11.88
11/5/96,11.8
11/6/96,11.84
11/7/96,11.8
11/8/96,11.86
11/11/96,11.87
11/12/96,11.74
11/13/1996,11.7
11/14/1996,11.63
11/15/1996,11.8
11/18/1996,11.74
11/19/1996,11.72
11/20/1996,11.76
11/21/1996,11.86
11/22/1996,11.82
11/25/1996,11.94
11/26/1996,11.96
11/27/1996,11.92
11/28/1996,11.89
11/29/1996,11.98
12/2/96,11.87
12/3/96,12.1
12/4/96,12
12/5/96,12.12
12/6/96,11.82
12/9/96,11.96
12/10/96,12.13
12/11/96,12.16
12/12/96,12
12/13/1996,11.91
12/16/1996,11.93
12/17/1996,11.86
12/18/1996,11.82
12/19/1996,11.85
12/20/1996,12.04
12/23/1996,12.04
12/24/1996,12.01
12/25/1996,12.01
12/26/1996,12.01
12/27/1996,12.02
12/30/1996,12.03
12/31/1996,12.04
1/1/97,12.04
1/2/97,11.99
1/3/97,11.98
1/6/97,12.06
1/7/97,12.08
1/8/97,12.2
1/9/97,12.16
1/10/97,12.14
1/13/1997,12.14
1/14/1997,12.13
1/15/1997,12.3
1/16/1997,12.4
1/17/1997,12.56
1/20/1997,12.68
1/21/1997,12.77
1/22/1997,12.64
1/23/1997,12.71
1/24/1997,12.67
1/27/1997,12.67
1/28/1997,12.54
1/29/1997,12.55
1/30/1997,12.74
1/31/1997,12.75
2/3/97,12.95
2/4/97,12.9
2/5/97,13.11
2/6/97,13.35
2/7/97,13.46
2/10/97,13.58
2/11/97,13.41
2/12/97,13.911
2/13/1997,13.93
2/14/1997,13.9
2/17/1997,13.37
2/18/1997,13.62
2/19/1997,13.55
2/20/1997,13.33
2/21/1997,13.1
2/24/1997,13.28
2/25/1997,13.4
2/26/1997,13.19
2/27/1997,13.02
2/28/1997,12.82
3/3/97,12.58
3/4/97,12.63
3/5/97,12.727
3/6/97,12.95
3/7/97,13.06
3/10/97,13.24
3/11/97,13.2
3/12/97,12.939
3/13/1997,12.85
3/14/1997,12.5
3/17/1997,12.52
3/18/1997,12.44
3/19/1997,12.34
3/20/1997,12.48
3/21/1997,12.46
3/24/1997,12.78
3/25/1997,12.7
3/26/1997,12.691
3/27/1997,12.75
