obs,FFR,GDP,CPI
1954Q3,0.010266667,-1.564017168,0.15301479
1954Q4,0.009866667,-1.544422319,0.152445961
1955Q1,0.013433333,-1.516031384,0.151877133
1955Q2,0.015,-1.499793177,0.151877133
1955Q3,0.0194,-1.48654198,0.152445961
1955Q4,0.023566667,-1.481227926,0.15301479
1956Q1,0.024833333,-1.48591533,0.152445961
1956Q2,0.026933333,-1.478026358,0.153583618
1956Q3,0.0281,-1.479225745,0.155290102
1956Q4,0.029266667,-1.463044804,0.156427759
1957Q1,0.029333333,-1.457027519,0.157565415
1957Q2,0.03,-1.459508532,0.1592719
1957Q3,0.032333333,-1.449793823,0.160978385
1957Q4,0.032533333,-1.460424143,0.161547213
1958Q1,0.018633333,-1.487975801,0.162684869
1958Q2,0.0094,-1.482074496,0.164391354
1958Q3,0.013233333,-1.459247083,0.164391354
1958Q4,0.021633333,-1.436503166,0.164960182
1959Q1,0.0257,-1.417561049,0.164391354
1959Q2,0.030833333,-1.391614495,0.164960182
1959Q3,0.035766667,-1.392388473,0.166097838
1959Q4,0.0399,-1.388849366,0.167235495
1960Q1,0.039333333,-1.366840446,0.167235495
1960Q2,0.036966667,-1.371858177,0.167804323
1960Q3,0.029366667,-1.370302378,0.168373151
1960Q4,0.022966667,-1.383341941,0.169510808
1961Q1,0.020033333,-1.377302546,0.169510808
1961Q2,0.017333333,-1.358690699,0.169510808
1961Q3,0.016833333,-1.342626568,0.170079636
1961Q4,0.024,-1.322399046,0.170648464
1962Q1,0.024566667,-1.304586151,0.171217292
1962Q2,0.026066667,-1.293709014,0.171786121
1962Q3,0.028466667,-1.284557398,0.172354949
1962Q4,0.029233333,-1.282109148,0.172923777
1963Q1,0.029666667,-1.269092049,0.172923777
1963Q2,0.029633333,-1.256669085,0.173492605
1963Q3,0.0333,-1.238022416,0.174630262
1963Q4,0.034533333,-1.230264911,0.17519909
1964Q1,0.034633333,-1.208092421,0.175767918
1964Q2,0.0349,-1.196534326,0.175767918
1964Q3,0.034566667,-1.182990701,0.176336746
1964Q4,0.035766667,-1.180317035,0.177474403
1965Q1,0.039733333,-1.156023288,0.177474403
1965Q2,0.040766667,-1.142601126,0.178612059
1965Q3,0.040733333,-1.122519688,0.179749716
1965Q4,0.041666667,-1.098632541,0.180318544
1966Q1,0.045566667,-1.074472064,0.182025028
1966Q2,0.049133333,-1.071008627,0.183731513
1966Q3,0.0541,-1.06444041,0.186006826
1966Q4,0.055633333,-1.056428671,0.187144482
1967Q1,0.048233333,-1.04761421,0.187144482
1967Q2,0.0399,-1.047556476,0.188850967
1967Q3,0.038933333,-1.039649706,0.190557452
1967Q4,0.041733333,-1.032117573,0.192263936
