obs,I3Y,I5Y,I90D,I180D
1992M06,7.04,7.83,5.64,5.5
1992M07,6.22,7.05,5.73,5.66
1992M08,7.86,8.41,5.94,5.99
1992M09,7.91,8.32,5.86,5.88
1992M10,7.89,8.29,5.88,5.92
1992M11,8.01,8.48,5.9,5.93
1992M12,7.74,8.24,5.88,5.92
1993M01,7.49,8,5.82,5.83
1993M02,6.67,7.26,5.38,5.31
1993M03,6.63,7.05,5.27,5.24
1993M04,6.27,6.69,5.15,5.1
1993M05,6.59,7.09,5.22,5.17
1993M06,6.22,6.83,5.05,4.97
1993M07,5.85,6.43,4.78,4.72
1993M08,5.66,6.16,4.86,4.86
1993M09,5.88,6.35,4.81,4.84
1993M10,5.51,6.01,4.78,4.78
1993M11,5.84,6.36,4.82,4.84
1993M12,5.87,6.17,4.81,4.83
1994M01,5.62,6.05,4.8,4.82
1994M02,6.29,6.72,4.88,5.01
1994M03,7.09,7.57,4.92,5.11
1994M04,7.39,7.94,4.85,5.06
1994M05,7.44,8.14,5.12,5.46
1994M06,8.61,9.04,5.41,5.97
1994M07,8.56,8.96,5.6,6.05
1994M08,8.42,8.81,5.93,6.43
1994M09,9.24,9.74,6.45,6.9
1994M10,9.57,10.06,7.16,7.77
1994M11,10.01,10.27,7.95,8.79
1994M12,10.07,10.06,8.37,9.15
1995M01,10.28,10.31,8.08,8.61
1995M02,9.7,9.96,8.13,8.61
1995M03,9.57,9.81,7.89,8.29
1995M04,9.13,9.46,7.7,7.88
1995M05,8.37,8.68,7.55,7.53
1995M06,7.92,8.27,7.56,7.56
1995M07,8.04,8.44,7.58,7.71
1995M08,8.18,8.58,7.49,7.5
1995M09,7.76,8.17,7.47,7.44
1995M10,7.69,8.04,7.46,7.42
1995M11,7.68,8.04,7.43,7.38
1995M12,7.51,7.85,7.46,7.41
1996M01,7.47,7.76,7.47,7.46
1996M02,7.6,7.89,7.53,7.64
1996M03,8.23,8.47,7.57,7.68
1996M04,8.42,8.6,7.55,7.63
1996M05,8.3,8.53,7.57,7.69
1996M06,8.38,8.62,7.56,7.63
1996M07,8.13,8.35,6.92,6.85
1996M08,7.26,7.59,6.91,6.85
1996M09,7.24,7.57,6.7,6.64
1996M10,6.87,7.17,6.45,6.38
1996M11,6.56,6.84,6.13,6.08
1996M12,6.57,6.93,5.82,5.78
1997M01,6.53,6.99,5.91,5.92
1997M02,6.63,7.03,6.05,6.12
1997M03,7.06,7.49,6.04,6.08
1997M04,6.88,7.4,5.87,5.9
1997M05,6.69,7.17,5.35,5.31
1997M06,6.02,6.54,5.19,5.15
1997M07,5.74,6.15,4.9,4.88
1997M08,5.66,6.11,4.77,4.73
1997M09,5.36,5.82,4.83,4.81
1997M10,5.38,5.78,4.95,4.95
1997M11,5.41,5.72,5.07,5.11
1997M12,5.58,5.83,4.99,4.98
1998M01,5.28,5.51,4.97,4.96
1998M02,5.27,5.53,4.96,4.94
1998M03,5.2,5.49,4.92,4.88
1998M04,5.06,5.32,4.96,4.95
1998M05,5.09,5.31,5.32,5.39
1998M06,5.3,5.41,5.17,5.23
1998M07,5.23,5.35,5.19,5.25
1998M08,5.36,5.48,5.03,5.04
1998M09,4.99,5.13,4.83,4.72
1998M10,4.42,4.63,4.88,4.83
1998M11,4.64,4.83,4.8,4.72
1998M12,4.48,4.61,4.79,4.8
1999M01,4.8,4.91,4.77,4.79
1999M02,4.95,5.06,4.81,4.83
1999M03,5.1,5.24,4.76,4.76
1999M04,4.88,5.04,4.86,4.93
1999M05,5.39,5.58,4.93,5.02
1999M06,5.58,5.84,4.89,5.01
1999M07,5.5,5.76,4.92,5.08
1999M08,5.66,5.94,5.01,5.24
1999M09,5.74,6,5.31,5.54
1999M10,6.05,6.29,5.44,5.67
1999M11,6.11,6.31,5.65,5.79
1999M12,6.26,6.49,5.66,5.99
2000M01,6.8,6.99,5.8,6.08
2000M02,6.76,6.9,5.89,6.12
2000M03,6.48,6.56,6.04,6.24
2000M04,6.26,6.3,6.31,6.5
2000M05,6.4,6.45,6.23,6.3
2000M06,6.03,6.1,6.2,6.27
2000M07,6.01,6.07,6.49,6.61
2000M08,6.31,6.28,6.57,6.65
2000M09,6.23,6.18,6.41,6.47
2000M10,6.04,6.06,6.33,6.36
2000M11,5.9,5.93,6.2,6.05
2000M12,5.39,5.44,5.91,5.65
2001M01,5,5.15,5.59,5.39
2001M02,4.91,5.05,5.14,4.92
2001M03,4.64,4.8,4.86,4.72
2001M04,4.94,5.16,4.89,4.86
2001M05,5.23,5.5,4.97,4.96
2001M06,5.37,5.59,5.04,5.07
2001M07,5.64,5.84,4.95,4.93
2001M08,5.3,5.49,4.55,4.48
2001M09,4.75,5.08,4.36,4.25
2001M10,4.45,4.82,4.28,4.2
2001M11,4.58,4.93,4.25,4.2
2001M12,4.96,5.33,4.26,4.26
2002M01,5.07,5.41,4.31,4.42
2002M02,5.37,5.63,4.46,4.71
2002M03,5.75,6,4.59,4.87
2002M04,5.73,5.96,4.84,5.1
2002M05,5.75,5.96,5.07,5.27
2002M06,5.7,5.83,4.98,5.06
2002M07,5.43,5.62,4.96,4.99
2002M08,5.19,5.39,4.92,4.95
2002M09,5.07,5.23,4.9,4.92
2002M10,5.1,5.32,4.84,4.81
2002M11,4.88,5.11,4.83,4.77
2002M12,4.73,5,4.8,4.77
2003M01,4.68,4.91,4.75,4.69
2003M02,4.49,4.74,4.76,4.69
2003M03,4.58,4.84,4.79,4.74
2003M04,4.7,4.96,4.78,4.73
2003M05,4.55,4.74,4.67,4.54
2003M06,4.27,4.49,4.72,4.66
2003M07,4.64,4.89,4.82,4.85
2003M08,4.98,5.22,4.91,4.97
2003M09,5.13,5.31,4.97,5.1
2003M10,5.32,5.47,5.31,5.5
2003M11,5.73,5.83,5.47,5.59
2003M12,5.57,5.71,5.55,5.63
2004M01,5.46,5.63,5.57,5.64
2004M02,5.4,5.56,5.51,5.53
2004M03,5.13,5.3,5.54,5.58
2004M04,5.38,5.58,5.51,5.59
2004M05,5.48,5.71,5.49,5.55
2004M06,5.31,5.56,5.46,5.54
2004M07,5.36,5.56,5.44,5.52
2004M08,5.3,5.46,5.42,5.47
2004M09,5.19,5.31,5.41,5.45
2004M10,5.15,5.27,5.43,5.48
2004M11,5.14,5.27,5.41,5.42
2004M12,4.97,5.1,5.42,5.46
2005M01,5.14,5.26,5.63,5.75
2005M02,5.4,5.41,5.81,5.91
2005M03,5.59,5.63,5.75,5.81
2005M04,5.41,5.45,5.68,5.72
2005M05,5.23,5.25,5.66,5.69
2005M06,5.15,5.14,5.65,5.69
2005M07,5.18,5.19,5.62,5.66
2005M08,5.14,5.17,5.62,5.64
2005M09,5.11,5.15,5.63,5.7
2005M10,5.33,5.36,5.63,5.67
2005M11,5.33,5.37,5.63,5.69
2005M12,5.31,5.34,5.63,5.67
2006M01,5.17,5.18,5.61,5.64
2006M02,5.24,5.24,5.61,5.64
2006M03,5.3,5.3,5.69,5.79
2006M04,5.54,5.55,5.87,5.98
2006M05,5.71,5.73,5.96,6.07
2006M06,5.75,5.75,6.05,6.18
2006M07,5.9,5.87,6.19,6.3
2006M08,5.89,5.84,6.21,6.3
2006M09,5.83,5.74,6.28,6.38
2006M10,5.93,5.83,6.37,6.47
2006M11,5.93,5.8,6.39,6.49
2006M12,5.97,5.87,6.43,6.54
2007M01,6.11,6.05,6.37,6.46
2007M02,6.02,5.97,6.43,6.52
2007M03,6.04,5.95,6.48,6.59
2007M04,6.19,6.11,6.37,6.46
2007M05,6.15,6.07,6.42,6.55
2007M06,6.39,6.34,6.47,6.59
2007M07,6.38,6.3,6.75,6.81
2007M08,6.24,6.13,6.94,6.99
2007M09,6.29,6.21,6.91,7.05
2007M10,6.56,6.45,7.15,7.3
2007M11,6.57,6.36,7.29,7.41
2007M12,6.66,6.46,7.18,7.31
2008M01,6.58,6.34,7.69,7.84
2008M02,6.75,6.5,7.9,8.04
2008M03,6.21,6.1,7.84,7.99
2008M04,6.25,6.19,7.75,7.9
2008M05,6.47,6.33,7.81,8.04
2008M06,6.84,6.69,7.75,7.9
2008M07,6.49,6.4,7.31,7.3
2008M08,5.74,5.77,7.27,7.19
2008M09,5.48,5.54,6.03,5.57
2008M10,4.59,4.83,4.76,4.31
2008M11,3.96,4.28,4.39,3.9
2008M12,3.43,3.72,3.74,3.46
2009M01,3.15,3.5,3.16,3.01
2009M02,3.08,3.59,3.16,3.04
2009M03,3.2,3.73,3.1,3.02
2009M04,3.53,4.05,3.13,3.13
2009M05,3.91,4.47,3.25,3.3
2009M06,4.47,5.1,3.14,3.26
2009M07,4.59,5.21,3.3,3.59
2009M08,4.99,5.39,3.37,3.68
2009M09,4.82,5.14,3.78,4.18
2009M10,5.14,5.35,3.95,4.34
2009M11,4.99,5.24,4.13,4.41
2009M12,4.83,5.15,4.2,4.5
2010M01,4.95,5.27,4.16,4.37
2010M02,4.76,5.12,4.33,4.6
2010M03,5.05,5.34,4.55,4.78
2010M04,5.27,5.53,4.8,4.91
2010M05,4.94,5.2,4.89,5
2010M06,4.71,4.97,4.84,5
2010M07,4.59,4.79,4.74,4.88
2010M08,4.5,4.67,,
